CalDateValue,JourneyRef,VehicleRef,Driver
20201101,17001,1568,170-1111
20201101,510002,1617,170-1111
20201101,27002,1557,170-1111
20201101,27002,1557,170-1111
20201101,527002,1600,170-1111
20201101,37002,8708,171-1111
20201101,510002,1617,170-1111
20201101,17001,1568,170-1111
20201101,27001,1569,170-1111
20201101,17004,1573,170-1111
20201101,27003,1575,170-1111
20201101,17002,1571,170-1111
20201101,37002,8713,171-1111
20201101,27002,1557,170-1111
20201101,27004,1570,170-1111
20201101,37001,8713,171-1111
20201101,27003,1575,170-1111
20201101,17004,1573,170-1111
20201101,17006,1534,170-1111
20201101,17003,1534,170-1111
20201101,27004,1570,170-1111
20201101,37003,8708,171-1111
20201101,37004,8713,171-1111
20201101,17005,1557,170-1111
20201101,510001,1617,170-1111
20201101,527001,1600,170-1111
20201101,37006,8708,171-1111
20201101,27005,1571,170-1111
20201101,17006,1534,170-1111
20201101,27006,1575,170-1111
20201101,37005,8713,171-1111
20201101,527004,1600,170-1111
20201101,510004,1617,170-1111
20201101,427002,8808,171-1111
20201101,727001,1633,170-1111
20201101,37007,8708,171-1111
20201101,407002,8721,171-400393
20201101,147002,8865,171-1111
20201101,407002,8721,171-400393
20201101,17008,1557,170-1111
20201101,257004,8722,171-1111
20201101,467001,1603,170-1111
20201101,27007,1573,170-1111
20201101,407004,8735,171-1111
20201101,707002,1772,170-1111
20201101,17007,1570,170-1111
20201101,257002,8744,171-1111
20201101,107002,1701,170-1111
20201101,427002,8808,171-1111
20201101,107001,1696,170-1111
20201101,417001,8817,171-1111
20201101,457001,8816,171-1111
20201101,457002,8812,171-1111
20201101,707002,1772,170-1111
20201101,37008,8713,171-1111
20201101,207002,8727,171-1111
20201101,207001,8737,171-1111
20201101,457003,8813,171-1111
20201101,797001,8807,171-1111
20201101,137002,8833,171-1111
20201101,417003,8814,171-1111
20201101,107003,1699,170-1111
20201101,287001,8815,171-1111
20201101,417003,8814,171-1111
20201101,147004,8828,171-1111
20201101,227001,8847,171-1111
20201101,117001,8864,171-1111
20201101,107006,1703,170-1111
20201101,127002,8770,171-1111
20201101,27009,1534,170-1111
20201101,287001,8815,171-1111
20201101,27010,1535,170-1111
20201101,167001,2162,170-1111
20201101,427004,8808,171-1111
20201101,17011,1561,170-1111
20201101,127004,8767,171-1111
20201101,217002,8811,171-1111
20201101,147006,8838,171-1111
20201101,227002,8829,171-1111
20201101,117002,8856,171-1111
20201101,127001,8761,171-1111
20201101,107005,1700,170-1111
20201101,257004,8722,171-1111
20201101,167002,1602,170-1111
20201101,137001,8826,171-1111
20201101,107003,1699,170-1111
20201101,227003,8837,171-1111
20201101,237001,1600,170-1111
20201101,407006,8721,171-400393
20201101,37010,8714,171-1111
20201101,257001,8740,171-1111
20201101,27008,1571,170-1111
20201101,17011,1561,170-1111
20201101,17009,1575,170-1111
20201101,207003,8743,171-1111
20201101,117003,8836,171-1111
20201101,417003,8814,171-1111
20201101,37009,8705,171-1111
20201101,107004,1702,170-1111
20201101,27011,1568,170-1111
20201101,457004,8816,171-1111
20201101,17010,1569,170-1111
20201101,227004,8841,171-1111
20201101,427001,8808,171-1111
20201101,207004,8742,171-1111
20201101,107004,1702,170-1111
20201101,257006,8736,171-1111
20201101,127003,8764,171-1111
20201101,107005,1700,170-1111
20201101,117004,8866,171-1111
20201101,147008,8868,171-1111
20201101,17012,1553,170-1111
20201101,17011,1561,170-1111
20201101,447001,8796,171-1111
20201101,447001,8796,171-1111
20201101,27013,1565,170-1111
20201101,447001,8796,171-1111
20201101,27010,1535,170-1111
20201101,107006,1703,170-1111
20201101,467003,1603,170-1111
20201101,457005,8812,171-1111
20201101,707004,1778,170-1111
20201101,37012,8707,171-1111
20201101,137004,8869,171-1111
20201101,427006,8817,171-1111
20201101,237003,1616,170-1111
20201101,217003,8811,171-1111
20201101,147008,8868,171-1111
20201101,117006,8869,171-1111
20201101,237002,1617,170-1111
20201101,287004,8815,171-1111
20201101,37014,8708,171-1111
20201101,417005,8807,171-1111
20201101,727003,1633,170-1111
20201101,137004,8865,171-1111
20201101,747002,1862,170-1111
20201101,127005,8770,171-1111
20201101,127006,8762,171-1111
20201101,147010,8872,171-1111
20201101,257003,8744,171-1111
20201101,707001,1776,170-1111
20201101,227005,8827,171-1111
20201101,457006,8813,171-1111
20201101,37011,8713,171-1111
20201101,147001,8828,171-1111
20201101,257008,8724,171-1111
20201101,117005,8830,171-1111
20201101,137003,8833,171-1111
20201101,257008,8724,171-1111
20201101,407001,8721,171-400393
20201101,117006,8869,171-1111
20201101,257005,8722,171-1111
20201101,407008,8735,171-1111
20201101,427003,8817,171-1111
20201101,227006,8847,171-1111
20201101,267002,8810,171-1111
20201101,427008,8808,171-1111
20201101,237005,1596,170-1111
20201101,17015,1557,170-1111
20201101,27012,1573,170-1111
20201101,237004,1600,170-1111
20201101,457007,8816,171-1111
20201101,457008,8812,171-1111
20201101,707006,1782,170-1111
20201101,37016,8705,171-1111
20201101,17013,1577,170-1111
20201101,207005,8727,171-1111
20201101,107008,1696,170-1111
20201101,407010,8721,171-400393
20201101,107007,1701,170-1111
20201101,447000,8807,171-1111
20201101,207006,8737,171-1111
20201101,707003,1772,170-1111
20201101,147012,8854,171-1111
20201101,37013,8714,171-1111
20201101,17014,1570,170-1111
20201101,747001,1862,170-1111
20201101,147003,8826,171-1111
20201101,27015,1549,170-1111
20201101,227007,8829,171-1111
20201101,117007,8856,171-1111
20201101,137006,8838,171-1111
20201101,227008,8837,171-1111
20201101,127008,8761,171-1111
20201101,117010,8836,171-1111
20201101,727002,1633,170-1111
20201101,407003,8735,171-1111
20201101,427005,8808,171-1111
20201101,797003,8814,171-1111
20201101,417002,8796,171-1111
20201101,287005,8815,171-1111
20201101,117008,8864,171-1111
20201101,207008,8743,171-1111
20201101,117009,8866,171-1111
20201101,257007,8736,171-1111
20201101,167003,1602,170-1111
20201101,217006,8811,171-1111
20201101,257010,8740,171-1111
20201101,127007,8767,171-1111
20201101,427010,8817,171-1111
20201101,237007,1617,170-1111
20201101,137005,8865,171-1111
20201101,457009,8813,171-1111
20201101,237006,1616,170-1111
20201101,27014,1534,170-1111
20201101,167004,2162,170-1111
20201101,267001,8810,171-1111
20201101,267004,8803,171-1111
20201101,427012,8808,171-1111
20201101,427012,8808,171-1111
20201101,227009,8841,171-1111
20201101,107010,1699,170-1111
20201101,457010,8816,171-1111
20201101,37015,8707,171-1111
20201101,17016,1575,170-1111
20201101,147005,8868,171-1111
20201101,447003,8807,171-1111
20201101,227010,8827,171-1111
20201101,777002,1635,170-1111
20201101,107009,1702,170-1111
20201101,27017,1571,170-1111
20201101,407005,8721,171-400393
20201101,437001,8789,171-1111
20201101,127010,8764,171-1111
20201101,207007,8742,171-1111
20201101,107008,1696,170-1111
20201101,407012,8735,171-1111
20201101,127009,8762,171-1111
20201101,427007,8817,171-1111
20201101,417007,8796,171-1111
20201101,17018,1561,170-1111
20201101,37017,8708,171-1111
20201101,727005,1633,170-1111
20201101,467005,1603,170-1111
20201101,257009,8724,171-1111
20201101,707008,1776,170-1111
20201101,457011,8812,171-1111
20201101,217007,8811,171-1111
20201101,27016,1568,170-1111
20201101,237009,1600,170-1111
20201101,257012,8744,171-1111
20201101,287008,8815,171-1111
20201101,237008,1596,170-1111
20201101,147014,8828,171-1111
20201101,747004,1862,170-1111
20201101,27018,1565,170-1111
20201101,17017,1569,170-1111
20201101,37018,8713,171-1111
20201101,407014,8721,171-400393
20201101,107011,1703,170-1111
20201101,137008,8833,171-1111
20201101,107012,1700,170-1111
