PointRef,Latitude,Longitude
16010023,63.31762167,10.39501500
16010040,63.39060000,10.41140333
16010072,63.41902500,10.44816667
16010074,63.33302667,10.36206167
16010089,63.37020333,10.37673833
16010125,63.44794667,10.45777000
16010140,63.37053833,10.37061000
16010142,63.40460667,10.39929667
16010155,63.45035000,10.30884000
16010191,63.34844700,10.36549717
16010206,63.42207000,10.41183500
16010225,63.39625667,10.39614000
16010242,63.33277500,10.36670833
16010255,63.44730500,10.43969833
16010257,63.44582000,10.42610167
16010259,63.37598000,10.37941333
16010272,63.32627667,10.37463333
16010274,63.35175667,10.35363167
16010289,63.43774833,10.41669500
16010306,63.37879500,10.37497333
16010325,63.33192500,10.36796500
16010340,63.41347833,10.38196500
16010342,63.39270833,10.39999833
16010357,63.39983833,10.40386667
16010372,63.41745000,10.49464667
16010374,63.42367833,10.53517167
16010389,63.32621333,10.37431500
16010391,63.44963667,10.44731333
16010408,63.33151667,10.34821667
16010425,63.40776333,10.53525000
16010440,63.33196667,10.36766333
16010442,63.40444833,10.38136500
16010457,63.39565167,10.42759667
16010459,63.37883167,10.31706500
16010476,39.93620333,54.26440833
16010489,63.26794167,10.23509167
16010508,63.36153667,10.38867667
16010525,63.33324000,10.36736000
16010540,63.42109167,10.43826333
16010542,63.33359333,10.36910667
16010557,63.41211333,10.52782000
16010559,63.33314667,10.36031833
16010574,63.35036667,10.33295500
16010576,63.41170000,10.36149667
16010606,63.35840833,10.44130500
16010608,63.34546500,10.45738333
16010610,63.40114333,10.51206333
16010625,63.38422333,10.40303167
16010640,63.29770833,10.48199167
16010642,63.32272333,10.37639167
16010657,63.39159833,10.55687500
16010674,63.33313167,10.36010000
16010676,63.32657167,10.37315500
16010691,63.39089500,10.16124167
16010693,63.41079667,10.15748333
16010708,63.39958333,10.37461333
16010710,63.41170000,10.37794000
16010723,63.35537167,10.16459833
16010725,63.31845667,10.36562167
16010740,63.41214833,10.37677333
16010742,63.35860667,10.19737333
16010757,63.34763333,10.17115500
16010759,63.34542667,10.35936167
16010774,63.41508167,10.29958500
16010776,63.41479833,10.27535500
16010791,63.43094667,10.56783167
16010827,63.32967500,10.35932167
16011027,63.40635833,10.39851667
16011044,63.39716667,10.44035667
16011059,63.37844167,10.43450167
16011061,63.37052000,10.37651500
16011074,63.38497167,10.35727667
16011076,63.40635167,10.34636833
16011078,63.40498333,10.45874167
16011125,63.44928000,10.45747667
16011127,63.43019333,10.35683500
16011142,63.40760000,10.42189167
16011144,63.41616500,10.36055667
16011159,63.32279000,10.31569000
16011161,63.41930167,10.46614000
16011176,63.42743167,10.53550000
16011178,63.39293333,10.40047333
16011191,63.35006000,10.36675833
16011193,63.42326333,10.46864167
16011210,63.40917500,10.15940500
16011225,63.42846833,10.55292000
16011227,63.40564000,10.43377833
16011242,63.33284000,10.36694500
16011244,63.37806167,10.38254333
16011261,63.38415667,10.32285000
16011276,63.38531167,10.39074667
16011278,63.34659833,10.33400833
16011293,63.33834333,10.37244000
16011342,63.39588833,10.40383333
16011344,63.37912167,10.38149667
16011359,63.37353833,10.37824333
16011361,63.40723167,10.43408167
16011410,63.43323167,10.47190167
16011425,63.40046833,10.52328333
16011429,63.35930833,10.34244833
16011442,63.42030333,10.40549000
16011444,63.40295000,10.34196333
16011459,63.38727667,10.32878500
16011476,63.41858667,10.38211500
16011478,63.33786833,10.37158833
16011495,63.35722333,10.37798500
16011542,63.40948833,10.40290500
16011544,63.39641167,10.39700333
16011559,63.40961667,10.53789833
16011576,63.41462833,10.36664000
16011610,63.40141000,10.51081667
16011612,63.39881667,10.52426500
16011629,63.42593833,10.44129167
16011644,63.33031500,10.36800667
16011646,63.34081000,10.35954167
